
Ten sach     				   			     ||Tac gia				     ||So luoc noi dung
The Great Gatsby                                                      F. Scott Fitzgerald                     In the five years between the publication of his first novel, This Side of Paradise (1920) and his masterpiece, The Great Gatsby (1925), F Scott Fitzgerald experienced the kind of literary success that can only happen in America. Fitzgerald not only coined the term "the jazz age", he lived and wrote about it with the hedonistic delirium expressed in his second novel, The Beautiful and Damned (1922). "I saw the improbable, the implausible, often the 'impossible' come true," he wrote later. His career as the celebrity spokesman for the inter-war generation brought him money, fame, and the love of women. Looking back, he remembered that "it seemed a romantic business to be a successful literary man". The Great Gatsby is the American novel on this list that remains, after many readings, one of my all-time favourites, an unquiet masterpiece whose mystery never fails to exert its power.
The Trial                                                             Franz Kafka                             The artist, says Kafka, is the one who has nothing to say. By which he means that art, true art, carries no message, has no opinion, does not attempt to coerce or persuade, but simply – simply! – bears witness. Ironically, we find this dictum particularly hard to accept in the case of his own work, which comes to us with all the numinous weight and opacity of a secret testament, the codes of which we seem required to decrypt. The Trial, we feel, cannot be merely the simple story of a man, Josef K, who gets caught up in a judicial process – the book's German title is Der Prozeß – that will lead with nightmarish inevitability to his execution. Surely it is at least an allegory of fallen man's predicament, of his state of enduring and irredeemable guilt in a world from which all hope has been expunged. Yet the book has its direct sources in the mundane though extreme circumstances of Kafka's own life.
Men Without Women                                                     Ernest Hemingway                        "Certainly it is valuable to a trained writer to crash in an aircraft that burns," Ernest Hemingway told the Paris Review in 1958. "He learns several important things very quickly." By the time he made this statement, which seems almost to parody his macho persona, Hemingway's long and hugely successful career as a writer was effectively over. He had been in two successive plane crashes in 1954 when he had gone on safari to recapture the happiness, and perhaps the inspiration, he experienced on a similar trip to British East Africa in 1933. That expedition had inspired the last two major stories he wrote, "The Short Happy Life of Francis Macomber" and "The Snows of Kilimanjaro". Their publication in 1936 marked the end of a remarkable 13 years in which Hemingway left an indelible mark on the short story. Hemingway's earliest published stories are stark formal experiments.
Journey to the End of the Night                                       Louis-Ferdinand Celine                  'I'd give all of Baudelaire for an Olympic swimmer," Céline insisted. It's a provocative statement, typical of Louis-Ferdinand Destouches, who used the nom de plume of Céline. Doctor, linguist, shagger of showgirls and noted antisemite, Céline is now widely acknowledged as the greatest French prose stylist of the 20th century, despite, or perhaps partly because of, the controversy that still dogs the man and his work.I have French friends who point-blank refuse to read Céline because of the antisemitism, but there is a strong tradition in France of not just indulging, but almost demanding bad behaviour and outrage from its writers (I refer you to Houellebecq, Gide, Cocteau, Colette, Genet and Baudelaire). It tells you a lot about France, in terms of both literature and politics, that after disgracing himself during the Hitler years, Céline was back on the shelves in 1949.
As I Lay Dying                                                        William Faulkner                        This is the first, and probably the most popular, of Faulkner’s Yoknapatawpha County stories, a short, dark and compelling novel set in what he called “my apocryphal county”, a fictional rendering of Lafayette County in his native Mississippi. It was his ambition, he said, after the comparative failure of The Sound and the Fury, “deliberately to write a tour de force”. Apart from Mark Twain (No 23 in this series), no other American writer before Faulkner had ever immersed his readers so completely in the vernacular language and culture of a society that was, and perhaps still is, so deeply foreign to mainstream American experience. The death and burial of a southern matriarch, Addie Bundren, is told from some 15 viewpoints, including that of the dying woman herself. The Bundren family’s demanding stream-of-consciousness narrative. 
Brave New World                                                       Aldous Huxley                           The grandson of TH Huxley, an eminent Victorian scientist, and scion of a famous family of public intellectuals, Aldous Huxley was a precociously gifted young man who grew up on the fringes of the Bloomsbury set. In the 1920s, Huxley acquired a reputation for the kind of heartless, satirical fiction that appealed to the Waste Land generation. Today, he is rather out of favour, and mostly read as a curiosity of his time. I’ve put him into this series for the vivacity of his imagination as much as his prose, which is often top-heavy with ideas, and stylistically thin. Huxley’s most famous novel, a dystopian fable set in the seventh century AF (After Ford), began as a parody of HG Wells (No 39 in this series), specifically of Men Like Gods, whose optimism Huxley disdained. A jeu d’esprit quickly became a vehicle for Huxley’s obsession with the consequences of mass industrialisation.
Scoop                                                                 Evelyn Waugh                            Evelyn Waugh was born 100 years ago, on October 28, 1903. He does not seem to have died. His complex personality, reduced to a comic grotesque clutching an ear trumpet, struts and fulminates in countless anecdotes. But his real transcendence of death comes in his fiction. It is ironic that Waugh's rebarbative, bi-polar social persona should dominate his literary reputation. He was quite frank about its fictional nature. It was, he tells us in the manifestly autobiographical Ordeal of Gilbert Pinfold (1957), a self-defensive imaginative construct. "It was his modesty which needed protection, and for this purpose, but without design, he gradually assumed this character of burlesque." The role he cast himself in, Waugh confesses, was a combination of eccentric don and testy colonel, a paradoxical "front of pomposity mitigated by indiscretion, that was as hard, bright and antiquated as a cuirass".
USA                                                                   John Dos Passos                         From the "gilded age" of Edith Wharton and Henry James to the rhythms of the Harlem Renaissance and Beat poets, writers have long been drawn to the east coast's biggest city. The New York Times has planned a holiday itinerary based entirely around literary landmarks, but what would be the perfect reading list to accompany a visit? For all the heiresses and eminently acceptable suitors of the fin de siècle, the quintessential New York novel of money must surely be Fitzgerald's The Great Gatsby. It's definitely the book to read on the first approach: "Over the great bridge, with the sunlight through the girders making a constant flicker upon the moving cars, with the city rising up across the river in white heaps and sugar lumps all built with a wish out of non-olfactory money. The city seen from the Queensboro Bridge is always the city seen for the first time."
The Big Sleep                                                         Raymond Chandler                        Seventy-five years ago this week a revolution in crime-writing began when Knopf published The Big Sleep, Raymond Chandler's first novel. Reviews in 1939 were wary and unenthusiastic, however, and only gradually was it recognised that Chandler had pulled off a bold fusion of highbrow and lowbrow – much-applauded by authors such as WH Auden, Graham Greene and Evelyn Waugh, but also much-imitated by fellow chroniclers of murder. What was so new? Almost everything in the first chapter, which introduces Philip Marlowe as he visits the Sternwood family mansion. Marlowe speaks to us. Whereas Holmes, Poirot, Maigret, Sam Spade are observed externally, Marlowe is the detective as autobiographer, starting three consecutive sentences in the first paragraph with "I" (ending with "I was calling on four million dollars").
The Pursuit Of Love                                                   Nancy Mitford                           I read The Pursuit of Love as a child, mystified and delighted by the spirited Radletts and their terrifying father, and have returned to it at least once a year ever since. It is a darker book than I first realised, the superficial lightness concealing a faint and beguiling pessimism about love's pursuit and its consequences. Linda Radlett, the intensely English heroine, is the most beautiful of an eccentric aristocratic family closely modelled on Nancy Mitford's own. The children spend most of their days tucked up in the airing cupboard – the only warm place in their vast house – learning the rudiments of sex from Ducks and Duck Breeding and squabbling over the exact nature of Oscar Wilde's crimes. Lord Alconleigh doesn't approve of educating women – or of foreigners, intellectuals and other sundry "sewers" – while fraternising with the opposite sex is limited to hunt meets and rural dances. 
The Plague                                                            Albert Camus                            Albert Camus was the first writer I remember whose death made the news while I was growing up; my mother cried when the car crash was described on the telly. For my 1960s self, Camus was the hero of life's pointlessness, the dark prophet of resistance and its impossibility, the ultimate hip smoker and café philosopher, the contemporary writer as the messenger of bad news, tough guy and prince of cool. Camus showed how all pieties stink, and my teenage heart went molten with admiration. I read L'étranger (The Outsider) and tried to grasp such concepts as alienation and the absurd; I read La Peste (The Plague) and brought away comforting corroboration of my deeply held opinion that, yes, life was a plague, and its victims were condemned to an endless cycle of futile revolt. I wanted to go back to The Plague because I'd just read his posthumous memoir, The First Man.
Nineteen Eighty-Four                                                  George Orwell                           "It was a bright cold day in April, and the clocks were striking thirteen.” Time is out of joint, and everyday life has no comfort any more: from Down and Out in Paris and London (1933) to Animal Farm (1945), George Orwell had been incubating a profound inner dissonance with his society. Even as a child, he had been fascinated by the futuristic imagination of HG Wells (and later, Aldous Huxley). Finally, at the end of his short life, he fulfilled his dream. Nineteen Eighty-Four, arguably the most famous English novel of the 20th century, is a zeitgeist book. Orwell’s dystopian vision was deeply rooted both in its author’s political morality, and in its time, the postwar years of western Europe. Its themes (the threat of the totalitarian state, censorship and the manipulation of language) continue to reverberate, with prophetic menace, like distant gunfire, into the present.
Malone Dies                                                           Samuel Beckett                          "The sun shone, having no alternative, on the nothing new.” Samuel Beckett’s entry into this series with his characteristically bleak, nihilistic humour, marks another milestone: the first appearance since Shakespeare of a writer who will innovate as brilliantly in theatre as much as in poetry and prose. Beckett, indeed, is one of the giants of 20th-century literature, in any language. Murphy is an absurdist masterpiece, a first novel that emerged from a long literary apprenticeship, mainly conducted in post-first world war Paris. It was the first substantial work by a young man – Beckett was born on Good Friday, 13 April, 1906 in Foxrock, just south of Dublin – who had been experimenting for years with poetry and prose, partly influenced by James Joyce, for whom he also worked as an unconventional secretary. Murphy, which would soon become overshadowed by the international success of Waiting.
Catcher in the Rye                                                    J.D. Salinger                           The novel is said to have popularised the term "screw up", as in "Boy, it really screws up my sex life something awful. My sex life stinks." Hurrah for disaffected teenagers across the globe. Salinger spent a lot of time refusing requests to adapt the novel. Among those who have tried to get a film version made are Marlon Brando, Jack Nicholson and Leonardo DiCaprio. Jerry Lewis longed to play Holden Caulfield, and John Cusack is on record mourning the fact that once he was past 21, he was too old to take the role. Were it ever available. Salinger was working on a version of the book when he was fighting in the second world war. During the campaign from Normandy to Germany, he met Ernest Hemingway, with whom he went on to exchange letters. Mark David Chapman, the killer of John Lennon, so identified with the Salinger's antihero that he wanted to change his name to Holden Caulfield. 
Wise Blood                                                            Flannery O'Connor                       When Signet published the first paperback edition of Wise Blood, they advertised it as "A Searching Novel of Sin and Redemption" – making it an ideal choice for our Reading group about faith. Yet, if we are to believe Flannery O'Connor, during the book's early years there seems to have been some doubt as to whether sin and redemption were really the book's subjects. In a letter written in 1954 (to Ben Griffith, as quoted in a highly recommended lecture from Professor Amy Hungerford at Open Yale) the author wrote. Decades on, with all the mountains of articles and books written about O'Connor's Catholicism, it's hard to imagine anyone failing to see what lies at the heart of the book. ("Wise blood redemption O'Connor" just brought me a cool 166,000 hits on Google, for instance.) In fact, I find it hard to imagine that there were ever problems of interpretation. Yes, there's more to the book.
Charlotte's Web                                                       EB White                                The loving, bloodthirsty Charlotte A Cavatica of EB White's classic children's novel Charlotte's Web was inspired by a real spider, according to a new biography of the author. Michael Sims was reading White's collected letters when he found a reply to a group of schoolchildren, in which the author wrote that "I didn't like spiders at first, but then I began watching one of them, and soon saw what a wonderful creature she was and what a skilful weaver. I named her Charlotte." The comment sent Sims on a journey to discover whether there was indeed a real Charlotte, visiting White's old barn in Maine where Fern and Avery's rope still hung and finding that "there had been numerous Charlottes and Wilburs and Templetons in his life – but that there was indeed a particular clever spider who helped inspire the book".
The Lord Of The Rings                                                 J. R. R. Tolkien                        Hobbit Bilbo Baggins leaves the Shire for good and gives his magic ring to his cousin Frodo, who learns from Gandalf the wizard that this is no ordinary magic ring. It is the One Ring of Sauron, the Dark Lord and, were it to fall into Sauron's hands, he would gain complete power over the whole of Middle Earth. It must be destroyed. Together with his companions, Merry, Pippin and Sam, Frodo flees the Shire, making for Rivendell, the home of Elrond, ruler of elves. They are pursued by nine Black Riders who nearly overcome them, but on their way they meet a man called Strider who turns out to be Gandalf's friend. He guides them to Rivendell and, although Frodo is stabbed by one of the Black Riders, they arrive there safely. Elrond calls a Council. Gandalf explains that he has been held prisoner and only just escaped from the wizard Saruman who, although once an ally, now seeks the Ring for himself. 
Lucky Jim                                                             Kingsley Amis                           Has there even been a writer so choked with bile as Kingsley Amis? None of his novels look particularly kindly upon his fellow man, but Lucky Jim, his first, is driven by a particularly epic disdain for the idiocies, pedantries, mindless rules and unpleasant personal habits with which humanity is cursed. The titular Jim Dixon is an academic of a pretty poor sort, a medievalist who only picked the period because it looked like a soft option. Having clawed his way into a second-rate university he manages to cram the occasional desultory lecture around the more urgent business of persuading pretty girls to take his classes. Despite this non-specific lust, he does have a girlfriend of sorts: the grotesque Margaret, whose "tinkle of tiny silver bells" laugh will freeze the heart of any would-be coquette. Remarkable for its relentless skewering of artifice and pretension.
Lord of the Flies                                                     William Golding                         The pages of the hardback school exercise book are brittle with age while the writing is small and at times difficult to decipher. But the urgency and passion of the story shine through and famous phrases leap out: "Piggy, piggy!" then later: "Kill the pig." On Wednesday, on the 60th anniversary of the publication of Lord of the Flies, much of William Golding's archive including this handwritten draft of his most famous novel is being given on long-term loan to the University of Exeter. For the first time academics, students and members of the public will get the chance to pore over this precious early version of one of the most famous, widely-read and influential novels of the past six decades. Golding's daughter, Judy Carver, said the family wanted to make sure her father's papers, which include drafts of most of his novels, were properly preserved.
The Quiet American                                                    Graham Greene                           "I had to find a religion," said Graham Greene, "to measure my evil against." This puts Greene the "Catholic novelist" (a description he detested) into correct perspective: before he chose Christ as his highest value, he was first a man obsessed with scale itself. No 20th-century writer had a subtler mind for human comparison. Where lesser novelists deploy broad strokes to separate good guy from bad, Greene was the master of the multiple distinction: the thin lines that separate evil from cruelty from unkindness from malevolent stupidity. His people exist within a meticulously calibrated moral system. They fail by degrees. And so there is no real way to be good in Greene, there are simply a million ways to be more or less bad. This detailed ethical realism is an aspect of Greene often neglected in favour of the more baroque aspects of his oeuvre.
On the Road                                                           Jack Kerouac                            In tribute to On the Road's 50th anniversary, the books blog has been celebrating the work of Kerouac and co with a series of articles under the banner of "Beats week". But what would Kerouac think were he alive today? For starters he would probably scoff at the very name "Beats week", as would the other so-called Beats. According to Kerouac, a Times Square hustler called Herbert Huncke coined the term. Kerouac said: "Huncke appeared to us and said 'I'm beat' with radiant light shining out of his despairing eyes...a word perhaps brought from some Midwest carnival or junk cafeteria." Gary Snyder said: "I'm not a Beat poet. I never did know exactly what was meant by the term Beats." Gregory Corso summarises the slippery nature of the meaning of Beat in his essay Variations on a Generation. In 13 sections on the definition of Beat he concludes the Beat Generation is a "stupid name".
Lolita                                                                Vladimir Nabokov                        Those who wish to know what the "Lolita" row is about had better read the book rather than the denunciations of it. They may not like the book; it is certainly not to everyone's taste. Although it is written with exceptional economy and force, its subject is an abnormal and perverted man: and to some people he and the portrayal of him will be too repellent for pleasure. But others will find the narration extremely funny and the satire sharp, if bitter. What few who approach "Lolita" unprejudiced are likely to find is that it deserves the strictures of obscenity now being cast upon it. The novel, by Vladimir Nabokov, is about a man who has a passion for girls aged between 12 and 14 - creatures (for him) of mystery and allurement whom he calls nymphets. Lolita is his preferred nymphet, and the book is a record of his disastrous affair with her.
The Tin Drum                                                          Gunter Grass                            Whether it's the greatest is open to debate, but one could argue that Günter Grass's The Tin Drum is the great novel of the 20th century. By that I mean it most completely defines the era in all its glories and catastrophes – the moods, atmospheres, manias, streams, currents, histories and under-histories. First published 50 years ago this week (on 6 October 1959), it is, technically, an incredible piece of art, a melange of bildungsroman, memoir, allegory, grotesquerie and pure reverie. On a superficial level it tells the story of Oskar Matzerath: incarcerated maniac, self-created dwarf, paranoiac, possessor of supernatural gifts, vindictive genius, fallen angel, miniature tyrant, obsessive beater of the titular drum. Oskar is all of these things and none of them; the ultimate unreliable narrator. The book charts his progress, and that of the independent port city of Danzig/Gdansk.
Things Fall Apart                                                     Chinua Achebe                           Taking the Irish poet WB Yeats's despairing statement of destruction – things fall apart – for its title, Chinua Achebe's first novel was a presentiment of what was to come in Nigeria during the end of the colonial occupations and their aftermath. It is the founding creation of modern African imaginative literature, the opening act of exploration into African consciousness using traditional modes of expression along with those appropriated from colonial culture, particularly the English language. That first work was also prescient – not only of Achebe's creative powers to develop as a writer in subsequent works, but of the political upheavals, the embattled end of colonialism, the fight for freedom by which the lives of the people of Africa have been shaped. Achebe lived through these times – a tragic civil war in his country – as an activist in extreme personal danger, finally exile.
The Prime of Miss Jean Brodie                                         Muriel Spark                            The Prime of Miss Jean Brodie (1961) was Muriel Spark's best novel, and Jean Brodie is one of the very few postwar fictional characters to have attained household status. But what does it mean to love a fictional character, and this one in particular? If you ask people what they "know" about Miss Brodie, they will likely recite a number of aphorisms: "I am in my prime", "you are the crème de la crème", and so on. These are Jean Brodie's famous tags. Miss Brodie, in other words, is not really "known" at all. We know her just as her young pupils knew her: as a collection of sayings, a rhetorical performance, a teacher's show. At Marcia Blaine School for girls, each member of the Brodie set is "famous" for something: Mary Macgregor is famous for being stupid, and Rose is famous for sex, and so on. Miss Brodie, it seems, is famous for her sayings. 
To Kill A Mockingbird                                                 Harper Lee                              Cynics will, of course, hear an echo of President Esposito in Woody Allen's Bananas. "From this day on, the official language of San Marcos will be Swedish." From now on, decrees Michael Gove, the official literature of England will be English literature. Gove has harped on this chauvinistic string for some time now. As he told his party conference, on assuming office: "The great tradition of our literature – Dryden, Pope, Swift, Byron, Keats, Shelley, Austen, Dickens and Hardy – should be at the heart of school life." (His indifference to Scottish literature is odd for someone who went to an Aberdeen private school.) He has expressed a personal distaste for John Steinbeck's Of Mice and Men. Some 90% of exam candidates answer on it, we're told. Gove clearly sees it as contaminated with the ideological prejudices of the left-leaning teaching profession.
Catch-22                                                              Joseph Heller                           The Catch-22 itself is a bureaucratic idiocy so sublime it leaves you staring out the window with wonder. As many of you will already know, the novel is set on a made-up island off the coast of Italy during the second world war, where an American bombing group is stationed. Desperate to impress his superiors, Colonel Cathcart keeps raising the number of missions his men have to fly. Our hero, Yossarian, has flown 50. Driven half-mad by his will to live, he wants out. But he's thwarted by Catch-22, a clause which states that pilots don't have to fly if they are certified as insane, but that being driven mad by fear is fundamentally rational. As it's described in the novel: "Orr would be crazy to fly more missions and sane if he didn't, but if he was sane he had to fly them. If he flew them he was crazy and didn't have to; but if he didn't want to he was sane and had to." 
Herzog                                                                Saul Bellow                             If I am out of my mind, it's all right with me, thought Moses Herzog. He had fallen under the spell of writing letters that he never sent. He was alone in the big old house in the Berkshires, overcome by the need to explain, to clarify, to have it out in the kind of effortlessly superior, macho prose that would become the hallmark of his acolytes. What was his character? Narcissistic, masochistic, too knowingly un-self-aware. Well, that was Bellow. But what of him? He had been a bad husband, a bad father, a bad academic; he had failed at everything. His wife, his ex-wife Madeleine, had made him spend his $20,000 inheritance on moving from the Berkshires to Chicago and then she had left him for his friend, his ex-friend Valentine. Why had he been the last to suspect their affair? Dear Einstein, Why does everyone hate me? Dear Herzog, Because you are relatively annoying.
One Hundred Years of Solitude                                         Gabriel Garcia Marquez                  Gabriel Garcia Marquez's seminal novel One Hundred Years of Solitude is the piece of writing that has most shaped world literature over the past 25 years, according to a survey of international writers. Barack Obama's memoir, Dreams from My Father, also makes an appearance on the list of favourite works chosen by fellow writers. Indra Sinha, Blake Morrison, Amit Chaudhuri and 22 other authors were asked to pick the title that they felt had most influenced world writing over the past quarter-century. The survey was conducted by the international literary magazine Wasafiri – meaning "cultural traveller" in Swahili – which celebrates its 25th anniversary today. Marquez's novel was the only book to be selected more than once. It was chosen by three authors: Chika Unigwe, Sujata Bhatt and the Ghanaian writer Nii Ayikwei Parkes.
Mrs Palfrey at the Claremont                                          Elizabeth Taylor                        Imagine the thrill of hearing for the first time of an author of 18 moving, funny and unforgettably brilliant books; a favourite of Hilary Mantel, Sarah Waters and Anne Tyler, shortlisted for the Booker prize and adored by generations of readers. Wouldn't you rush off to investigate, so that you could experience the compassion, the wit, for yourself? Of course you would. So why haven't you read Elizabeth-Taylor-the-novelist? And, if you have, why haven't more of your friends? There are several possible reasons, all equally silly. First, that name. Of all people to be mistaken for, a violet-eyed, much-married, child prodigy-turned-star is not ideal, and the novelist soon becomes fixed as the actress's opposite: dowdy, suburban, prim. Second, her titles. Some seem insipid (A View of the Harbour) others awkward (In a Summer Season, The Wedding Group), so that most of Taylor's novels do not sound tempt.
Tinker Tailor Soldier Spy                                             John Le Carre                           I should note that the quoted paragraph is more or less the exception in a review that is well worth reading for itself, rather than simply to gawp at its antiquated ideas about Le Carré's talents. Locke clearly knows the spy "genre" well and is a close and attentive reader - even if he blows it at the end by making the absurd suggestion that "in Le Carré's books everything works out". But although it's perhaps unkind to highlight the above paragraph from an otherwise decent review, it does show how far Le Carré's reputation has moved in recent years. Can you imagine anyone talking about him in such condescending terms today? Can you imagine anyone suggesting that one of the great writers of our age deserves a pat on the head for having a go at "novelistic" effects? In fact, did you even raise an eyebrow when I called Le Carre "a great writer"?
Song of Solomon                                                       Toni Morrison                           A Nobel prizewinner, a Pulitzer prizewinner and a Princeton professor to boot, Toni Morrison is a famously grand writer, one not much given to generosity when it comes to interviewers (especially, I cannot help but notice as I read over her cuttings, if they happen to be female). One poor hack, in a funk and fast running out of inquisitorial steam, made the mistake of asking her if she wrote by hand. Morrison replied: 'You've really collapsed now, haven't you?' I, too, fear saying the wrong thing, a dread that first took hold several weeks ago when - via a somewhat embarrassed publicist - I was asked how I was qualified to quiz America's 'national novelist'. What, for instance, was the name of the last American author I wrote about? At this point, my mind went completely blank. The only person I could think of was John Gray, author of Men Are From Mars, Women Are From Venus.
The Bottle Factory Outing                                             Beryl Bainbridge                        Beryl Bainbridge's daughter, Jojo Davies, is lifting one painting after another outside into her back garden so they can be photographed in a clear light. The paintings are by her mother. Beryl Bainbridge died of cancer on 2 July last year, but her career as a novelist seems to have a life of its own. She has recently been honoured by Booker (she was shortlisted five times for the prize) with a special award for Master Georgie (1998) and her new novel, The Girl in the Polka dot Dress, is out in June (she did not complete it, but editor Brendan King has adroitly remastered it). All this would be remarkable enough, but the most extraordinary thing to emerge since her death is Bainbridge's other life: as a painter. It is already being said that if Bainbridge had not succeeded as a novelist, she would have made her name in paint. The canvases are resurfacing and an exhibition is in prospect.
The Executioner's Song                                                Norman Mailer                           It just starts - no throat-clearing, no overture, no vamping-until-ready. Coming from a writer who had made his reputation slamming doors and banging about the house, leaving the television on in one sentence while simultaneously yelling abuse at the radio and bashing out power chords in another, this was of course a surprise. Also a relief and a delight. The flatness and tight-lipped quiet of The Executioner's Song after several decades of Mailer's attention-grabbing real-life excursions (stabbing a wife, running for New York mayor) and delinquent (now sliding into seniloquent) hellclub ravings is what made it so disarming, then very quickly riveting. The simple declarative sentence, hosed clean of beardy metaphors, adverbial and adjectival excess, of discursive detail and baroque, often bonkers, "existential" riffing, is something that Mailer had always seemed congenitally incapable of writing.
If on a Winter's Night a Traveller                                    Italo Calvino                           "You are about to begin reading Italo Calvino's new novel, If on a winter's night a traveller. Relax. Let the world around you fade." From the opening line of this eccentric book, which I first encountered as an undergraduate 16 years ago, I was magnetised. It was everything that A-level A Passage to India and As You Like It hadn't been. A novel that referred to its own existence? As offworldly an idea as the non-existence of the Soviet Union. A second-person protagonist? Unthinkable as two George Bushes. Then there was the novel's giddying (what I soon learned to call) intertextuality, where the protagonist "You" comes across 12 manuscripts written in the style of a Bogart movie, Borges, Chekhov, a spaghetti western, Mishima, and so on. And how about the audacious structure? Each manuscript is interrupted after too few exquisite pages.
A Bend in the River                                                   VS Naipaul                              When A Bend in the River, possibly his masterpiece, was published in 1979, I was living in America and I can still recall the excitement of handling the beautifully produced Knopf edition and travelling with Salim into Naipaul's heart of darkness in the boiling summer heat of New York City. That was the novel which seemed to place Naipaul head and shoulders above his contemporaries, and to set the edgy exactitude of his prose in a class of its own. Throughout this time, although he has written journalism when fiction was unavailable to him, although his later novels, notably The Enigma of Arrival, have hovered uneasily on the edge of autobiography, and although he has been anatomised, sometimes cruelly, in Paul Theroux's Sir Vidia's Shadow, Naipaul himself, with admirable discretion, has steered clear of the explicitly personal.
Waiting for the Barbarians                                            JM Coetzee                              At some point during the past couple of years, an eminent South African writer now living in Australia wrote this dismissive appraisal of John Maxwell Coetzee's œuvre: "In general, I would say that his work lacks ambition. The control of the elements is too tight. Nowhere do you get a feeling of a writer deforming his medium in order to say what has never been said before, which is to me the mark of great writing. Too cool, too neat, I would say. Too easy. Too lacking in passion." Even when a writer has achieved international fame and won the biggest trophies - the Nobel and two Booker prizes, in Coetzee's case - a bad review can't be easy to stomach. Harder if it is not just your book that is criticised, but the premise on which you have built your life: namely, that you can, must and should write. Worse still, if the reviewer impugns your character along with your novels.
Housekeeping                                                          Marilynne Robinson                      With the publication of Marilynne Robinson's widely praised second novel, Gilead, her first, Housekeeping, which appeared 25 years ago, should acquire new readers. It is the story of two sisters, Ruth and Lucille, who live in a small, sad town, Fingerbone, next to a lake, amongst the mountains of northwestern America. Ruth is the narrator, looking back "more than seven years" after the events of the novel to a time when she was near the end of childhood, though her age is never specified. Her vocabulary ("mantled", "cerements", "calyx") is certainly not childlike, but she does intensely relive the peculiar loneliness of her girlhood. After the suicide of their mother and the death of their grandmother, she and Lucille are looked after by their benign but remote aunt, Sylvie. A former wanderer herself, Sylvie keeps house eccentrically, and the girls roam around the lake.
Lanark                                                                Alasdair Gray                           I tripped over Lanark, literally, on the floor of a friend's house and recall quite clearly being struck by the (then) cover as I picked it up. A cheeky echo of the engraved title page of the first edition of Hobbes' Leviathan, it showed an enormous man, his corporate body and clothing made of faceless folk, wielding a sword and a crook over the city he hoped to rule by fear. The city stretched beneath his arms was a cluster of skyscrapers and factories, pylons and gasworks and clocktowers, its coastline fraught with crested waves, its hills rising through the urban sprawl like naked limbs. A closer look found the monster-humps of the Forth Bridge bounding over black, nameless water; what was surely the paddle steamer Waverley chugged a narrower channel further south. And there, no mistake, were Glasgow Cathedral and the Necropolis overlooking Dennistoun.
The New York Trilogy                                                  Paul Auster                             Some time in the middle of last summer, New York author Paul Auster finished his latest piece of writing, sat back and felt pretty happy with it. Known primarily for his thoughtful evocations of lonely urban life, Auster says that this new work "is particularly close to my heart". Surprisingly, the work in question is the preface to a thoroughly sentimental-sounding extract from Nathaniel Hawthorne's diary about his toddler son. "It's being published for Father's Day," says this exponent of what one critic referred to as "the chilled-out cool", with a suspiciously uncool smile. "Twenty Days with Julian and Little Bunny, by Papa," as the extract is titled, seems an unlikely project for Auster, who is more commonly thought of as a modern, philosophical novelist than as a sentimental one - "philosophical both in the sense of devoted to thought, and in the sense of fatalistic".
The BFG                                                               Roald Dahl                              News broke over the weekend that Steven Spielberg is set to direct a film of The BFG. It'll be the story's second adaptation; in 1989 it was made into an animated TV film. This one will be live action, say reports; the script will be by ET scriptwriter Melissa Mathison, and it's due to come out in 2016. I'm in two minds about the news. The BFG is such a huge part of my childhood reading; of the masses and acres of books I roared through, it stands out as one of the few titles of which I remember whole chunks, even today, almost verbatim. The thought of frobscottle still enchants me – delumptious, with its downwards-whizzing bubbles, and its taste of raspberries and vanilla. "'Whenever I is feeling a bit scrotty,' the BFG said, 'a few gollops of frobscottle is always making me hopscotchy again.'" And the arrival of the Fleshlumpeater still sends a quiver down my spine.
The Periodic Table                                                    Primo Levi                              It was awarded – in a very informal vote – the title of the best science book ever written, but what makes it a science book at all? Levi was a working chemist, but the title is a metaphor and even this figure of speech is sometimes a little strained to comply with the book's scheme. Some of it is personal memoir, and chapter headings such as Argon, and Iron, seem barely justified by the reflections that follow. Some stories are overtly fiction, which is surely the antithesis of science writing. One or two are attempts to address the process of industrial science from, so to speak, the floor: Sulphur is a compelling account of a wartime factory hand's hours on the night shift, but what is he making, and why does he need such temperatures, such vacuum readings? Some of it is about etymology, about the nature of words and their casual links with the elements around us.
Oscar And Lucinda                                                     Peter Carey                             It is instructive to see how Peter Carey brings off a fusion of the epic and ironic modes in this marvellous novel, Oscar And Lucinda. He constructs his narrative out of short, or shortish, sentences, often of an off-beat, ferocious elegance. (His is a style that calls attention to itself not insistently but unequivocally.) These sharp, highly coloured splinters are assembled into very many short, or shortish, chapters. Gradually, all builds into a novel of extraordinary size, in every sense of the word: yet the method of it is not unlike the way a person might set out to construct a model of the Taj Mahal out of matchsticks, and the general effect of Oscar And Lucinda does indeed have some of the unselfconscious strangeness of folk art. It is just this strangeness that undercuts the tendency towards irony, and gives Oscar Hopkins his genuinely tragic dimension.
LA Confidential                                                       James Ellroy                            James Ellroy has been described as the "klng of meta-historical, postmodern, hard-boiled noir". Joining the book club to discuss his 1987 novel The Black Dahlia, the first in his celebrated LA quartet of novels, he explains why "postmodernity" is irrelevant to him. He's more into the "hepcat, hipster" culture that characterised the Los Angeles of the 1940s and 50s in which his novels are set. Los Angeles, profanity and political correctness are among the subjects he explores in a wide-ranging discussion of a novel based on a real-life murder that happened a year before he was born, and which reflected the murder of his own mother more than a decade later.
